n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.859375,0.0,0.0,0.9812907904278464,0.8968
1,100,0.796875,0.896953125,0.0328625919728172,0.9539300836416856,0.8643000000000001
100,10000,0.53125,0.718515625,0.0703945268063993,0.7861634698459193,0.6554
200,20000,0.3671875,0.513984375,0.0516605956089539,0.6329770981588502,0.5121
300,30000,0.3125,0.47171875,0.0434669976282294,0.5881785415908964,0.4594
400,40000,0.3125,0.471640625,0.0480154877153911,0.5941073709997922,0.473
500,50000,0.3046875,0.464375,0.0471388408056456,0.5924621424591809,0.4617
600,60000,0.3046875,0.4628125,0.0425063184641413,0.5924621424591809,0.4617
700,70000,0.28125,0.45609375,0.0382218927571293,0.5676088845367782,0.4545
800,80000,0.28125,0.468671875,0.0454804940803953,0.5666600713835864,0.4525
900,90000,0.28125,0.452421875,0.0447990167782382,0.5666600713835864,0.4525
1000,100000,0.25,0.416171875,0.0440953861097946,0.5115713480921125,0.4175
1100,110000,0.2421875,0.392890625,0.0481758938479284,0.4919271914696951,0.395
1200,120000,0.234375,0.392890625,0.0430368068988264,0.4882241804418672,0.3917
1300,130000,0.234375,0.398203125,0.0399348682378178,0.4882241804418672,0.3917
1400,140000,0.2265625,0.3921875,0.0428193425188897,0.4837613698088461,0.3898
1500,150000,0.2265625,0.391328125,0.0467458507308068,0.4837613698088461,0.3898
1600,160000,0.2265625,0.390703125,0.0459345104256796,0.4837613698088461,0.3898
1700,170000,0.2265625,0.383984375,0.0429953752736486,0.4812142166555013,0.3854999999999999
1800,180000,0.2265625,0.38828125,0.0434349706997426,0.4812142166555013,0.3854999999999999
1900,190000,0.21875,0.3803125,0.0413233249811774,0.4805351516310543,0.3828
2000,200000,0.203125,0.389765625,0.0411607551397186,0.4777156816306684,0.3774999999999999
2100,210000,0.203125,0.38171875,0.0415610314590181,0.4777156816306684,0.3774999999999999
2200,220000,0.203125,0.395,0.044087980221371,0.47771568163066847,0.37749999999999995
